Simulation File is open
# Time      Read Pos      Calc Pos
0           116      114
0.001       116      114
0.002       116      114
0.003       116      114
0.004       115      114
0.005       113      114
0.006       114      114
0.007       116      114
0.008       116      114
0.009       116      114
0.01        116      114
0.011       117      114
0.012       116      114
0.013       115      114
0.014       114      114
0.015       115      114
0.016       115      114
0.017       115      114
0.018       114      114
0.019       114      114
0.02        114      114
0.021       113      114
0.022       114      114
0.023       114      114
0.024       114      114
0.025       114      114
0.026       115      114
0.027       115      114
0.028       115      114
0.029       115      114
0.03        114      114
0.031       114      114
0.032       115      114
0.033       116      114
0.034       116      114
0.035       114      114
0.036       112      114
0.037       113      114
0.038       114      114
0.039       114      114
0.04        114      114
0.041       113      114
0.042       114      114
0.043       115      114
0.044       115      114
0.045       115      114
0.046       115      114
0.047       115      114
0.048       115      114
0.049       115      114
0.05        115      114
0.051       114      114
0.052       115      114
0.053       115      114
0.054       115      114
0.055       115      114
0.056       116      114
0.057       115      114
0.058       115      114
0.059       117      114
0.06        118      114
0.061       116      114
0.062       115      114
0.063       115      114
0.064       117      114
0.065       117      114
0.066       116      114
0.067       116      114
0.068       116      114
0.069       115      114
0.07        116      114
0.071       116      114
0.072       115      114
0.073       114      114
0.074       114      114
0.075       115      114
0.076       115      114
0.077       115      114
0.078       115      114
0.079       115      114
0.08        115      114
0.081       113      114
0.082       113      114
0.083       115      114
0.084       117      114
0.085       116      114
0.086       114      114
0.087       115      114
0.088       115      114
0.089       115      114
0.09        115      114
0.091       115      114
0.092       115      114
0.093       116      114
0.094       116      114
0.095       115      114
0.096       114      114
0.097       115      114
0.098       115      114
0.099       115      114
0.1         115      114
0.101       116      114
0.102       115      114
0.103       113      114
0.104       114      114
0.105       115      114
0.106       116      114
0.107       115      114
0.108       115      114
0.109       115      114
0.11        115      114
0.111       115      114
0.112       115      114
0.113       115      114
0.114       114      114
0.115       115      114
0.116       115      114
0.117       115      114
0.118       115      114
0.119       115      114
0.12        114      114
0.121       115      114
0.122       116      114
0.123       115      114
0.124       115      114
0.125       115      114
0.126       115      114
0.127       116      114
0.128       116      114
0.129       116      114
0.13        115      114
0.131       115      114
0.132       115      114
0.133       115      114
0.134       116      114
0.135       117      114
0.136       116      114
0.137       115      114
0.138       116      114
0.139       115      114
0.14        115      114
0.141       115      114
0.142       114      114
0.143       114      114
0.144       114      114
0.145       115      114
0.146       115      114
0.147       115      114
0.148       115      114
0.149       115      114
0.15        116      114
0.151       115      114
0.152       115      114
0.153       116      114
0.154       115      114
0.155       113      114
0.156       113      114
0.157       114      114
0.158       115      114
0.159       115      114
0.16        115      114
0.161       114      114
0.162       114      114
0.163       114      114
0.164       113      114
0.165       114      114
0.166       115      114
0.167       116      114
0.168       115      114
0.169       115      114
0.17        115      114
0.171       116      114
0.172       115      114
0.173       114      114
0.174       115      114
0.175       116      114
0.176       115      114
0.177       114      114
0.178       114      114
0.179       115      114
0.18        117      114
0.181       115      114
0.182       114      114
0.183       114      114
0.184       115      114
0.185       116      114
0.186       116      114
0.187       117      114
0.188       116      114
0.189       116      114
0.19        116      114
0.191       115      114
0.192       115      114
0.193       116      114
0.194       115      114
0.195       114      114
0.196       115      114
0.197       116      114
0.198       115      114
0.199       115      114
0.2         114      114
0.201       113      114
0.202       114      114
0.203       114      114
0.204       114      114
0.205       115      114
0.206       117      114
0.207       116      114
0.208       115      114
0.209       115      114
0.21        115      114
0.211       116      114
0.212       117      114
0.213       118      114
0.214       117      114
0.215       115      114
0.216       115      114
0.217       115      114
0.218       115      114
0.219       115      114
0.22        116      114
0.221       116      114
0.222       116      114
0.223       114      114
0.224       114      114
0.225       114      114
0.226       114      114
0.227       115      114
0.228       115      114
0.229       115      114
0.23        115      114
0.231       115      114
0.232       115      114
0.233       115      114
0.234       115      114
0.235       115      114
0.236       114      114
0.237       113      114
0.238       114      114
0.239       115      114
0.24        114      114
0.241       115      114
0.242       115      114
0.243       115      114
0.244       115      114
0.245       115      114
0.246       115      114
0.247       115      114
0.248       115      114
0.249       116      114
0.25        116      114
0.251       116      114
0.252       116      114
0.253       116      114
0.254       115      114
0.255       115      114
0.256       114      114
0.257       115      114
0.258       115      114
0.259       115      114
0.26        114      114
0.261       115      114
0.262       116      114
0.263       116      114
0.264       115      114
0.265       115      114
0.266       116      114
0.267       116      114
0.268       116      114
0.269       115      114
0.27        114      114
0.271       114      114
0.272       114      114
0.273       114      114
0.274       114      114
0.275       114      114
0.276       115      114
0.277       115      114
0.278       116      114
0.279       116      114
0.28        116      114
0.281       116      114
0.282       116      114
0.283       115      114
0.284       113      114
0.285       114      114
0.286       116      114
0.287       116      114
0.288       116      114
0.289       116      114
0.29        116      114
0.291       116      114
0.292       117      114
0.293       116      114
0.294       115      114
0.295       115      114
0.296       116      114
0.297       117      114
0.298       116      114
0.299       115      114
0.3         115      114
0.301       115      114
0.302       115      114
0.303       115      114
0.304       115      114
0.305       114      114
0.306       115      114
0.307       116      114
0.308       116      114
0.309       117      114
0.31        116      114
0.311       116      114
0.312       116      114
0.313       115      114
0.314       115      114
0.315       116      114
0.316       117      114
0.317       117      114
0.318       116      114
0.319       115      114
0.32        116      114
0.321       115      114
0.322       115      114
0.323       115      114
0.324       114      114
0.325       115      114
0.326       115      114
0.327       115      114
0.328       116      114
0.329       116      114
0.33        116      114
0.331       115      114
0.332       115      114
0.333       116      114
0.334       115      114
0.335       115      114
0.336       116      114
0.337       117      114
0.338       117      114
0.339       116      114
0.34        115      114
0.341       114      114
0.342       114      114
0.343       116      114
0.344       116      114
0.345       115      114
0.346       115      114
0.347       114      114
0.348       116      114
0.349       116      114
0.35        116      114
0.351       116      114
0.352       115      114
0.353       114      114
0.354       114      114
0.355       115      114
0.356       115      114
0.357       114      114
0.358       114      114
0.359       115      114
0.36        116      114
0.361       116      114
0.362       116      114
0.363       115      114
0.364       115      114
0.365       115      114
0.366       114      114
0.367       114      114
0.368       113      114
0.369       113      114
0.37        114      114
0.371       116      114
0.372       117      114
0.373       116      114
0.374       114      114
0.375       116      114
0.376       116      114
0.377       115      114
0.378       115      114
0.379       115      114
0.38        115      114
0.381       116      114
0.382       116      114
0.383       115      114
0.384       115      114
0.385       114      114
0.386       113      114
0.387       114      114
0.388       116      114
0.389       117      114
0.39        117      114
0.391       116      114
0.392       115      114
0.393       115      114
0.394       115      114
0.395       115      114
0.396       116      114
0.397       115      114
0.398       115      114
0.399       115      114
0.4         116      114
0.401       116      114
0.402       115      114
0.403       115      114
0.404       114      114
0.405       115      114
0.406       116      114
0.407       117      114
0.408       116      114
0.409       114      114
0.41        114      114
0.411       115      114
0.412       116      114
0.413       115      114
0.414       115      114
0.415       115      114
0.416       114      114
0.417       115      114
0.418       115      114
0.419       114      114
0.42        115      114
0.421       115      114
0.422       114      114
0.423       114      114
0.424       115      114
0.425       116      114
0.426       115      114
0.427       115      114
0.428       115      114
0.429       115      114
0.43        115      114
0.431       114      114
0.432       114      114
0.433       115      114
0.434       115      114
0.435       116      114
0.436       116      114
0.437       115      114
0.438       114      114
0.439       113      114
0.44        114      114
0.441       114      114
0.442       113      114
0.443       114      114
0.444       115      114
0.445       116      114
0.446       116      114
0.447       117      114
0.448       116      114
0.449       115      114
0.45        114      114
0.451       115      114
0.452       116      114
0.453       116      114
0.454       116      114
0.455       115      114
0.456       114      114
0.457       114      114
0.458       114      114
0.459       115      114
0.46        116      114
0.461       117      114
0.462       116      114
0.463       115      114
0.464       115      114
0.465       116      114
0.466       116      114
0.467       115      114
0.468       115      114
0.469       116      114
0.47        116      114
0.471       115      114
0.472       114      114
0.473       113      114
0.474       113      114
0.475       114      114
0.476       115      114
0.477       116      114
0.478       116      114
0.479       115      114
0.48        115      114
0.481       115      114
0.482       116      114
0.483       116      114
0.484       116      114
0.485       115      114
0.486       115      114
0.487       115      114
0.488       115      114
0.489       116      114
0.49        116      114
0.491       114      114
0.492       114      114
0.493       114      114
0.494       114      114
0.495       114      114
0.496       115      114
0.497       115      114
0.498       115      114
0.499       115      114
0.5         114      114
0.501       114      114
0.502       116      114
0.503       116      114
0.504       116      114
0.505       115      114
0.506       115      114
0.507       115      114
0.508       115      114
0.509       115      114
0.51        115      114
0.511       114      114
0.512       116      114
0.513       117      114
0.514       117      114
